request_id,pickup_point,driver_id,status,request_timestamp,drop_timestamp,assigned_status,hour,dayofweek,timeslot,iscancelled
1769,City,8.0,Trip Completed,2016-07-12 08:57:00,2016-07-12 09:24:00,Assigned,8,Tuesday,Early Morning,0
2520,City,8.0,Trip Completed,2016-07-12 21:05:00,2016-07-12 22:20:00,Assigned,21,Tuesday,Night,0
3265,Airport,8.0,Trip Completed,2016-07-13 10:22:00,2016-07-13 11:07:00,Assigned,10,Wednesday,Morning,0
4648,City,8.0,Trip Completed,2016-07-14 11:55:00,2016-07-14 12:59:00,Assigned,11,Thursday,Morning,0
449,Airport,9.0,Trip Completed,2016-07-11 09:08:00,2016-07-11 09:52:00,Assigned,9,Monday,Early Morning,0
846,Airport,9.0,Trip Completed,2016-07-11 17:46:00,2016-07-11 18:52:00,Assigned,17,Monday,Evening,0
1346,Airport,9.0,Trip Completed,2016-07-11 23:39:00,2016-07-12 00:23:00,Assigned,23,Monday,Night,0
1474,Airport,9.0,Trip Completed,2016-07-12 05:13:00,2016-07-12 05:56:00,Assigned,5,Tuesday,Early Morning,0
2240,City,9.0,Trip Completed,2016-07-12 18:20:00,2016-07-12 18:54:00,Assigned,18,Tuesday,Evening,0
3072,Airport,9.0,Trip Completed,2016-07-13 08:04:00,2016-07-13 08:36:00,Assigned,8,Wednesday,Early Morning,0
3459,Airport,9.0,Trip Completed,2016-07-13 17:03:00,2016-07-13 17:31:00,Assigned,17,Wednesday,Evening,0
3774,Airport,9.0,Trip Completed,2016-07-13 20:41:00,2016-07-13 21:27:00,Assigned,20,Wednesday,Evening,0
4023,City,9.0,Trip Completed,2016-07-13 23:58:00,2016-07-14 00:58:00,Assigned,23,Wednesday,Night,0
4117,City,9.0,Trip Completed,2016-07-14 04:21:00,2016-07-14 05:07:00,Assigned,4,Thursday,Late Night,0
4880,Airport,9.0,Trip Completed,2016-07-14 17:58:00,2016-07-14 19:02:00,Assigned,17,Thursday,Evening,0
5568,Airport,9.0,Trip Completed,2016-07-15 05:47:00,2016-07-15 06:25:00,Assigned,5,Friday,Early Morning,0
5994,Airport,9.0,Trip Completed,2016-07-15 11:51:00,2016-07-15 12:32:00,Assigned,11,Friday,Morning,0
1809,Airport,10.0,Trip Completed,2016-07-12 09:13:00,2016-07-12 10:01:00,Assigned,9,Tuesday,Early Morning,0
2064,Airport,10.0,Trip Completed,2016-07-12 15:08:00,2016-07-12 16:14:00,Assigned,15,Tuesday,Afternoon,0
3210,City,10.0,Trip Completed,2016-07-13 09:47:00,2016-07-13 10:52:00,Assigned,9,Wednesday,Early Morning,0
4350,City,10.0,Trip Completed,2016-07-14 07:24:00,2016-07-14 08:22:00,Assigned,7,Thursday,Early Morning,0
4713,City,10.0,Trip Completed,2016-07-14 13:31:00,2016-07-14 14:10:00,Assigned,13,Thursday,Afternoon,0
5629,Airport,10.0,Trip Completed,2016-07-15 06:33:00,2016-07-15 07:19:00,Assigned,6,Friday,Early Morning,0
6157,Airport,10.0,Trip Completed,2016-07-15 16:32:00,2016-07-15 17:44:00,Assigned,16,Friday,Afternoon,0
2030,City,11.0,Trip Completed,2016-07-12 14:11:00,2016-07-12 15:02:00,Assigned,14,Tuesday,Afternoon,0
3226,City,11.0,Trip Completed,2016-07-13 10:00:00,2016-07-13 11:02:00,Assigned,10,Wednesday,Morning,0
3353,City,11.0,Trip Completed,2016-07-13 13:29:00,2016-07-13 14:09:00,Assigned,13,Wednesday,Afternoon,0
4293,City,11.0,Trip Completed,2016-07-14 06:42:00,2016-07-14 07:12:00,Assigned,6,Thursday,Early Morning,0
4936,City,11.0,Trip Completed,2016-07-14 18:22:00,2016-07-14 19:14:00,Assigned,18,Thursday,Evening,0
5661,Airport,11.0,Trip Completed,2016-07-15 07:08:00,2016-07-15 07:59:00,Assigned,7,Friday,Early Morning,0
5778,City,11.0,Trip Completed,2016-07-15 08:22:00,2016-07-15 09:13:00,Assigned,8,Friday,Early Morning,0
6425,Airport,11.0,Trip Completed,2016-07-15 19:46:00,2016-07-15 20:26:00,Assigned,19,Friday,Evening,0
45,Airport,12.0,Trip Completed,2016-07-11 03:17:00,2016-07-11 04:09:00,Assigned,3,Monday,Late Night,0
264,City,12.0,Trip Completed,2016-07-11 06:51:00,2016-07-11 07:40:00,Assigned,6,Monday,Early Morning,0
1183,City,12.0,Trip Completed,2016-07-11 21:05:00,2016-07-11 21:38:00,Assigned,21,Monday,Night,0
1536,Airport,12.0,Trip Completed,2016-07-12 05:59:00,2016-07-12 06:59:00,Assigned,5,Tuesday,Early Morning,0
2437,City,12.0,Trip Completed,2016-07-12 20:18:00,2016-07-12 21:26:00,Assigned,20,Tuesday,Evening,0
2641,Airport,12.0,Trip Completed,2016-07-12 22:28:00,2016-07-12 23:05:00,Assigned,22,Tuesday,Night,0
4077,Airport,12.0,Trip Completed,2016-07-14 02:14:00,2016-07-14 03:13:00,Assigned,2,Thursday,Late Night,0
4610,City,12.0,Trip Completed,2016-07-14 10:35:00,2016-07-14 11:39:00,Assigned,10,Thursday,Morning,0
5066,Airport,12.0,Trip Completed,2016-07-14 19:31:00,2016-07-14 20:14:00,Assigned,19,Thursday,Evening,0
5666,Airport,12.0,Trip Completed,2016-07-15 07:04:00,2016-07-15 08:12:00,Assigned,7,Friday,Early Morning,0
5923,City,12.0,Trip Completed,2016-07-15 10:07:00,2016-07-15 10:50:00,Assigned,10,Friday,Morning,0
6367,City,12.0,Trip Completed,2016-07-15 19:04:00,2016-07-15 19:46:00,Assigned,19,Friday,Evening,0
155,City,13.0,Trip Completed,2016-07-11 05:32:00,2016-07-11 06:28:00,Assigned,5,Monday,Early Morning,0
310,Airport,13.0,Trip Completed,2016-07-11 07:24:00,2016-07-11 08:28:00,Assigned,7,Monday,Early Morning,0
607,City,13.0,Trip Completed,2016-07-11 11:51:00,2016-07-11 12:42:00,Assigned,11,Monday,Morning,0
1012,City,13.0,Trip Completed,2016-07-11 19:15:00,2016-07-11 19:57:00,Assigned,19,Monday,Evening,0
1696,Airport,13.0,Trip Completed,2016-07-12 08:01:00,2016-07-12 08:42:00,Assigned,8,Tuesday,Early Morning,0
3076,City,13.0,Trip Completed,2016-07-13 08:09:00,2016-07-13 09:12:00,Assigned,8,Wednesday,Early Morning,0
4198,Airport,13.0,Trip Completed,2016-07-14 05:32:00,2016-07-14 06:45:00,Assigned,5,Thursday,Early Morning,0
4627,City,13.0,Trip Completed,2016-07-14 11:13:00,2016-07-14 12:00:00,Assigned,11,Thursday,Morning,0
5289,City,13.0,Trip Completed,2016-07-14 21:43:00,2016-07-14 22:24:00,Assigned,21,Thursday,Night,0
5495,Airport,13.0,Trip Completed,2016-07-15 05:00:00,2016-07-15 06:02:00,Assigned,5,Friday,Early Morning,0
6656,Airport,13.0,Trip Completed,2016-07-15 22:08:00,2016-07-15 22:41:00,Assigned,22,Friday,Night,0
139,Airport,14.0,Trip Completed,2016-07-11 05:21:00,2016-07-11 06:09:00,Assigned,5,Monday,Early Morning,0
215,City,14.0,Trip Completed,2016-07-11 06:15:00,2016-07-11 07:07:00,Assigned,6,Monday,Early Morning,0
1816,City,14.0,Trip Completed,2016-07-12 09:24:00,2016-07-12 10:07:00,Assigned,9,Tuesday,Early Morning,0
2505,Airport,14.0,Trip Completed,2016-07-12 21:03:00,2016-07-12 22:14:00,Assigned,21,Tuesday,Night,0
3346,City,14.0,Trip Completed,2016-07-13 13:01:00,2016-07-13 13:55:00,Assigned,13,Wednesday,Afternoon,0
5294,City,14.0,Trip Completed,2016-07-14 21:45:00,2016-07-14 22:16:00,Assigned,21,Thursday,Night,0
6226,Airport,14.0,Trip Completed,2016-07-15 17:34:00,2016-07-15 18:33:00,Assigned,17,Friday,Evening,0
6733,Airport,14.0,Trip Completed,2016-07-15 23:32:00,2016-07-16 00:37:00,Assigned,23,Friday,Night,0
1027,Airport,15.0,Trip Completed,2016-07-11 19:18:00,2016-07-11 20:24:00,Assigned,19,Monday,Evening,0
2675,Airport,15.0,Trip Completed,2016-07-12 23:43:00,2016-07-13 00:35:00,Assigned,23,Tuesday,Night,0
3200,City,15.0,Trip Completed,2016-07-13 09:39:00,2016-07-13 10:30:00,Assigned,9,Wednesday,Early Morning,0
3865,City,15.0,Trip Completed,2016-07-13 21:52:00,2016-07-13 22:21:00,Assigned,21,Wednesday,Night,0
4468,City,15.0,Trip Completed,2016-07-14 08:42:00,2016-07-14 09:22:00,Assigned,8,Thursday,Early Morning,0
5163,Airport,15.0,Trip Completed,2016-07-14 20:34:00,2016-07-14 21:05:00,Assigned,20,Thursday,Evening,0
6009,City,15.0,Trip Completed,2016-07-15 12:22:00,2016-07-15 13:25:00,Assigned,12,Friday,Afternoon,0
6448,Airport,15.0,Trip Completed,2016-07-15 20:02:00,2016-07-15 20:40:00,Assigned,20,Friday,Evening,0
591,City,16.0,Trip Completed,2016-07-11 11:25:00,2016-07-11 12:31:00,Assigned,11,Monday,Morning,0
709,City,16.0,Trip Completed,2016-07-11 14:16:00,2016-07-11 15:03:00,Assigned,14,Monday,Afternoon,0
1167,Airport,16.0,Trip Completed,2016-07-11 20:50:00,2016-07-11 21:52:00,Assigned,20,Monday,Evening,0
2661,Airport,16.0,Trip Completed,2016-07-12 23:23:00,2016-07-13 00:27:00,Assigned,23,Tuesday,Night,0
2808,City,16.0,Trip Completed,2016-07-13 05:05:00,2016-07-13 05:56:00,Assigned,5,Wednesday,Early Morning,0
3258,Airport,16.0,Trip Completed,2016-07-13 10:12:00,2016-07-13 10:45:00,Assigned,10,Wednesday,Morning,0
3413,Airport,16.0,Trip Completed,2016-07-13 15:32:00,2016-07-13 16:45:00,Assigned,15,Wednesday,Afternoon,0
3939,Airport,16.0,Trip Completed,2016-07-13 22:26:00,2016-07-13 22:55:00,Assigned,22,Wednesday,Night,0
4125,City,16.0,Trip Completed,2016-07-14 04:37:00,2016-07-14 05:46:00,Assigned,4,Thursday,Late Night,0
4457,City,16.0,Trip Completed,2016-07-14 08:36:00,2016-07-14 09:19:00,Assigned,8,Thursday,Early Morning,0
4728,City,16.0,Trip Completed,2016-07-14 14:04:00,2016-07-14 15:06:00,Assigned,14,Thursday,Afternoon,0
5347,Airport,16.0,Trip Completed,2016-07-14 22:51:00,2016-07-14 23:53:00,Assigned,22,Thursday,Night,0
6147,City,16.0,Trip Completed,2016-07-15 16:11:00,2016-07-15 17:30:00,Assigned,16,Friday,Afternoon,0
6496,Airport,16.0,Trip Completed,2016-07-15 20:33:00,2016-07-15 21:32:00,Assigned,20,Friday,Evening,0
634,City,17.0,Trip Completed,2016-07-11 12:25:00,2016-07-11 13:06:00,Assigned,12,Monday,Afternoon,0
939,Airport,17.0,Trip Completed,2016-07-11 18:25:00,2016-07-11 19:26:00,Assigned,18,Monday,Evening,0
2628,Airport,17.0,Trip Completed,2016-07-12 22:10:00,2016-07-12 23:25:00,Assigned,22,Tuesday,Night,0
3021,City,17.0,Trip Completed,2016-07-13 07:33:00,2016-07-13 08:26:00,Assigned,7,Wednesday,Early Morning,0
4743,City,17.0,Trip Completed,2016-07-14 14:54:00,2016-07-14 15:39:00,Assigned,14,Thursday,Afternoon,0
4981,City,17.0,Trip Completed,2016-07-14 18:47:00,2016-07-14 19:43:00,Assigned,18,Thursday,Evening,0
5367,Airport,17.0,Trip Completed,2016-07-14 23:35:00,2016-07-15 00:25:00,Assigned,23,Thursday,Night,0
5471,Airport,17.0,Trip Completed,2016-07-15 04:48:00,2016-07-15 05:47:00,Assigned,4,Friday,Late Night,0
5988,Airport,17.0,Trip Completed,2016-07-15 11:48:00,2016-07-15 12:55:00,Assigned,11,Friday,Morning,0
6477,Airport,17.0,Trip Completed,2016-07-15 20:21:00,2016-07-15 21:00:00,Assigned,20,Friday,Evening,0
499,City,18.0,Trip Completed,2016-07-11 09:39:00,2016-07-11 10:16:00,Assigned,9,Monday,Early Morning,0
1147,Airport,18.0,Trip Completed,2016-07-11 20:42:00,2016-07-11 21:18:00,Assigned,20,Monday,Evening,0
1410,Airport,18.0,Trip Completed,2016-07-12 03:14:00,2016-07-12 04:27:00,Assigned,3,Tuesday,Late Night,0
1804,Airport,18.0,Trip Completed,2016-07-12 09:12:00,2016-07-12 09:57:00,Assigned,9,Tuesday,Early Morning,0
1949,Airport,18.0,Trip Completed,2016-07-12 11:32:00,2016-07-12 12:13:00,Assigned,11,Tuesday,Morning,0
2713,City,18.0,Trip Completed,2016-07-13 01:46:00,2016-07-13 02:37:00,Assigned,1,Wednesday,Late Night,0
2845,City,18.0,Trip Completed,2016-07-13 05:28:00,2016-07-13 06:10:00,Assigned,5,Wednesday,Early Morning,0
3943,Airport,18.0,Trip Completed,2016-07-13 22:35:00,2016-07-13 23:33:00,Assigned,22,Wednesday,Night,0
4792,City,18.0,Trip Completed,2016-07-14 16:47:00,2016-07-14 17:34:00,Assigned,16,Thursday,Afternoon,0
5207,Airport,18.0,Trip Completed,2016-07-14 20:57:00,2016-07-14 21:56:00,Assigned,20,Thursday,Evening,0
5890,City,18.0,Trip Completed,2016-07-15 09:43:00,2016-07-15 10:55:00,Assigned,9,Friday,Early Morning,0
494,City,19.0,Trip Completed,2016-07-11 09:36:00,2016-07-11 10:02:00,Assigned,9,Monday,Early Morning,0
1485,City,19.0,Trip Completed,2016-07-12 05:21:00,2016-07-12 06:35:00,Assigned,5,Tuesday,Early Morning,0
2042,City,19.0,Trip Completed,2016-07-12 14:30:00,2016-07-12 15:09:00,Assigned,14,Tuesday,Afternoon,0
2561,Airport,19.0,Trip Completed,2016-07-12 21:29:00,2016-07-12 22:44:00,Assigned,21,Tuesday,Night,0
3813,Airport,19.0,Trip Completed,2016-07-13 21:06:00,2016-07-13 21:46:00,Assigned,21,Wednesday,Night,0
4260,Airport,19.0,Trip Completed,2016-07-14 06:11:00,2016-07-14 06:59:00,Assigned,6,Thursday,Early Morning,0
4395,City,19.0,Trip Completed,2016-07-14 08:00:00,2016-07-14 08:54:00,Assigned,8,Thursday,Early Morning,0
5919,City,19.0,Trip Completed,2016-07-15 10:03:00,2016-07-15 10:59:00,Assigned,10,Friday,Morning,0
6002,Airport,19.0,Trip Completed,2016-07-15 12:04:00,2016-07-15 12:53:00,Assigned,12,Friday,Afternoon,0
468,City,20.0,Trip Completed,2016-07-11 09:20:00,2016-07-11 10:05:00,Assigned,9,Monday,Early Morning,0
693,Airport,20.0,Trip Completed,2016-07-11 13:51:00,2016-07-11 15:01:00,Assigned,13,Monday,Afternoon,0
1178,City,20.0,Trip Completed,2016-07-11 21:05:00,2016-07-11 22:06:00,Assigned,21,Monday,Night,0
2103,City,20.0,Trip Completed,2016-07-12 16:08:00,2016-07-12 17:18:00,Assigned,16,Tuesday,Afternoon,0
2292,Airport,20.0,Trip Completed,2016-07-12 18:46:00,2016-07-12 19:23:00,Assigned,18,Tuesday,Evening,0
3339,City,20.0,Trip Completed,2016-07-13 12:40:00,2016-07-13 13:30:00,Assigned,12,Wednesday,Afternoon,0
3694,City,20.0,Trip Completed,2016-07-13 19:33:00,2016-07-13 20:35:00,Assigned,19,Wednesday,Evening,0
4469,City,20.0,Trip Completed,2016-07-14 08:45:00,2016-07-14 09:48:00,Assigned,8,Thursday,Early Morning,0
6432,City,20.0,Trip Completed,2016-07-15 19:50:00,2016-07-15 20:30:00,Assigned,19,Friday,Evening,0
1895,City,21.0,Trip Completed,2016-07-12 10:20:00,2016-07-12 10:52:00,Assigned,10,Tuesday,Morning,0
1981,Airport,21.0,Trip Completed,2016-07-12 12:23:00,2016-07-12 12:56:00,Assigned,12,Tuesday,Afternoon,0
3744,Airport,21.0,Trip Completed,2016-07-13 20:28:00,2016-07-13 21:22:00,Assigned,20,Wednesday,Evening,0
4433,Airport,21.0,Trip Completed,2016-07-14 08:26:00,2016-07-14 09:12:00,Assigned,8,Thursday,Early Morning,0
6039,Airport,21.0,Trip Completed,2016-07-15 13:11:00,2016-07-15 13:38:00,Assigned,13,Friday,Afternoon,0
6543,City,21.0,Trip Completed,2016-07-15 20:54:00,2016-07-15 22:12:00,Assigned,20,Friday,Evening,0
110,City,22.0,Trip Completed,2016-07-11 05:05:00,2016-07-11 06:06:00,Assigned,5,Monday,Early Morning,0
362,City,22.0,Trip Completed,2016-07-11 08:01:00,2016-07-11 09:18:00,Assigned,8,Monday,Early Morning,0
666,Airport,22.0,Trip Completed,2016-07-11 13:02:00,2016-07-11 13:45:00,Assigned,13,Monday,Afternoon,0
926,City,22.0,Trip Completed,2016-07-11 18:28:00,2016-07-11 19:34:00,Assigned,18,Monday,Evening,0
1180,Airport,22.0,Trip Completed,2016-07-11 21:01:00,2016-07-11 22:14:00,Assigned,21,Monday,Night,0
1900,City,22.0,Trip Completed,2016-07-12 10:32:00,2016-07-12 11:42:00,Assigned,10,Tuesday,Morning,0
2506,City,22.0,Trip Completed,2016-07-12 21:01:00,2016-07-12 21:38:00,Assigned,21,Tuesday,Night,0
3064,City,22.0,Trip Completed,2016-07-13 08:02:00,2016-07-13 08:58:00,Assigned,8,Wednesday,Early Morning,0
3327,Airport,22.0,Trip Completed,2016-07-13 12:24:00,2016-07-13 13:23:00,Assigned,12,Wednesday,Afternoon,0
3601,City,22.0,Trip Completed,2016-07-13 18:39:00,2016-07-13 19:29:00,Assigned,18,Wednesday,Evening,0
4768,Airport,22.0,Trip Completed,2016-07-14 15:39:00,2016-07-14 16:49:00,Assigned,15,Thursday,Afternoon,0
5142,City,22.0,Trip Completed,2016-07-14 20:17:00,2016-07-14 20:48:00,Assigned,20,Thursday,Evening,0
5366,Airport,22.0,Trip Completed,2016-07-14 23:27:00,2016-07-15 00:19:00,Assigned,23,Thursday,Night,0
5575,City,22.0,Trip Completed,2016-07-15 05:53:00,2016-07-15 06:50:00,Assigned,5,Friday,Early Morning,0
5902,City,22.0,Trip Completed,2016-07-15 09:52:00,2016-07-15 10:37:00,Assigned,9,Friday,Early Morning,0
6694,Airport,22.0,Trip Completed,2016-07-15 22:45:00,2016-07-15 23:17:00,Assigned,22,Friday,Night,0
523,Airport,23.0,Trip Completed,2016-07-11 09:48:00,2016-07-11 10:37:00,Assigned,9,Monday,Early Morning,0
747,City,23.0,Trip Completed,2016-07-11 15:53:00,2016-07-11 16:43:00,Assigned,15,Monday,Afternoon,0
1371,Airport,23.0,Trip Completed,2016-07-12 00:22:00,2016-07-12 01:33:00,Assigned,0,Tuesday,Late Night,0
1553,City,23.0,Trip Completed,2016-07-12 06:09:00,2016-07-12 07:09:00,Assigned,6,Tuesday,Early Morning,0
1692,Airport,23.0,Trip Completed,2016-07-12 07:52:00,2016-07-12 09:01:00,Assigned,7,Tuesday,Early Morning,0
2114,City,23.0,Trip Completed,2016-07-12 16:36:00,2016-07-12 17:21:00,Assigned,16,Tuesday,Afternoon,0
2742,City,23.0,Trip Completed,2016-07-13 03:07:00,2016-07-13 03:51:00,Assigned,3,Wednesday,Late Night,0
4273,City,23.0,Trip Completed,2016-07-14 06:17:00,2016-07-14 07:02:00,Assigned,6,Thursday,Early Morning,0
4668,City,23.0,Trip Completed,2016-07-14 12:25:00,2016-07-14 13:34:00,Assigned,12,Thursday,Afternoon,0
